T_B_SCR,T_SCR_T1,T_SCR_T2,T_SCR_T3,T_SCR_T4,T_SCR_T5,T_A_SCR,,NO,NO2,N2O,H2O,NH3,,DTIUreaflowdmnd,DTIUreaflowsubm,,PTScrureamassflow,PTUreaflowdesired,,PTScrmassflow
?C,?C,?C,?C,?C,?C,?C,,ppm,ppm,ppm,ppm,ppm,,Real,Real,,Real,Real,,Real
Raw,Raw,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,Raw,Raw,Raw,,Raw,Raw,,Raw,Raw,,Raw
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,275.9,37.3,2.56,0,0.06,,0,1,,0,0,,18.6875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,277.3,37.95,2.87,0,-0.06,,0,1,,0,0,,18.71875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,276,38.01,2.84,0,-0.25,,0,1,,0,0,,18.6875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,275,39.25,2.59,0,0.02,,0,1,,0,0,,18.6875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,274.4,38.96,2.74,0,0.18,,0,1,,0,0,,18.71875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,281,38.01,2.85,0,0.38,,0,1,,0,0,,18.71875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.581575,,277.5,37.58,2.53,0,0,,0,1,,0,0,,18.65625
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.6046351,,279.6,39.1,2.36,0,-0.06,,0,1,,0,0,,18.71875
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.6046351,,276.5,38.51,2.32,0,0.06,,0,1,,0,0,,18.65625
197.0700196,200.0230787,-271.5107821,199.3311037,199.2618224,-271.0875332,172.6046351,,276.3,38,2.92,0,0.15,,0,1,,0,0,,18.65625
197.0700196,200.0230787,-271.5107821,199.3541691,199.2618224,-271.0875332,172.6046351,,275.3,38.13,2.99,0,0.21,,70,1,,71.4375,70,,18.65625
196.9315953,200.0230787,-271.5107821,199.3541691,199.2618224,-271.0875332,172.6046351,,276.2,38.96,2.3,0,0.16,,70,1,,71.4375,70,,18.6875
196.8162418,200.0923148,-271.5107821,199.4002999,199.2848904,-271.0875332,172.6046351,,276.3,38.42,2.72,0,0.18,,70,1,,70.03125,70,,18.6875
196.6778175,200.1153935,-271.5107821,199.4233652,199.2848904,-271.0875332,172.6046351,,272.6,38.88,2.78,0,0.33,,70,1,,70.6875,70,,18.6875
196.5163225,200.2077083,-271.5107821,199.4233652,199.3079585,-271.0875332,172.6276951,,278.9,38.34,2.34,0,0.23,,70,1,,70.6875,70,,18.6875
196.3317568,200.230787,-271.5107821,199.469496,199.4232987,-271.0875332,172.6507552,,279.2,38.44,2.35,0,0.25,,70,1,,70.6875,70,,18.6875
