X axis [deg],PMax1 [bar]
0,14.37828
720,14.18864
1440,14.59989
2160,18.955488
2880,13.741191
3600,30.519547
4320,37.522701
5040,35.000378
5760,29.041397
6480,23.977245
7200,12.703872
7920,6.4239044
8640,12.118715
9360,19.267693
10080,23.932281
10800,27.880823
11520,33.787548
12240,35.206596
12960,34.690281
13680,33.444393
14400,31.715973
15120,29.711695
15840,29.689949
16560,30.572643
17280,31.630955
18000,32.028404
18720,33.54174
19440,33.873096
20160,32.417671
20880,31.891415
21600,31.403822
22320,31.736446
23040,32.406052
23760,31.765518
24480,32.563732
25200,32.927647
25920,32.154686
26640,32.103848
27360,31.858051
28080,33.17152
28800,30.688454
29520,33.306484
30240,31.606983
30960,32.628788
31680,32.348686
32400,33.373554
33120,33.076443
33840,31.977478
34560,33.122337
35280,32.906929
36000,31.857302
36720,33.43261
37440,32.979149
38160,32.798313
38880,33.558758
39600,33.020508
40320,33.577309
41040,33.6035
41760,33.828678
42480,32.365639
43200,33.279972
43920,33.044662
44640,33.283695
45360,33.477634
46080,34.165745
46800,34.256538
47520,30.787186
48240,32.35038
48960,30.49024
49680,31.162807
50400,32.140736
51120,31.315796
51840,33.955009
52560,33.202648
53280,33.043961
54000,32.48745
54720,33.257271
55440,34.146416
56160,33.235401
56880,32.296349
57600,31.652615
58320,32.568398
59040,30.013557
59760,31.39119
60480,29.490553
61200,29.972
61920,31.704655
62640,30.673624
63360,31.894421
64080,31.515051
64800,30.805271
65520,30.736916
66240,31.825794
66960,30.521564
67680,31.750416
68400,31.721596
69120,32.676849
69840,30.963802
70560,31.723343
71280,30.763422
72000,32.38575
72720,31.364836
73440,30.240595
74160,31.280304
74880,28.924133
75600,31.745476
76320,32.014687
77040,32.521515
77760,32.352928
78480,30.846306
79200,31.943474
79920,31.332418
80640,32.132751
81360,30.859594
82080,31.099588
82800,32.160606
83520,31.759117
84240,32.21151
84960,29.666689
85680,29.91111
86400,29.750095
87120,30.601938
87840,29.767778
88560,29.512796
89280,30.976164
90000,30.44735
90720,30.788839
91440,30.438528
92160,29.355476
92880,29.327007
93600,31.212828
94320,31.831337
95040,31.034567
95760,30.549969
96480,31.259567
97200,31.108578
97920,30.927021
98640,31.146439
99360,31.661655
100080,31.22937
100800,32.059944
101520,29.207956
102240,28.990175
102960,29.974957
103680,31.043108
104400,30.598007
105120,31.30307
105840,29.750092
106560,29.558281
107280,32.30777
108000,30.486544
108720,30.796482
109440,31.186304
110160,31.715614
110880,29.881702
111600,29.14584
112320,31.700123
113040,31.485506
113760,31.295681
114480,29.850485
115200,31.078527
115920,31.544678
116640,31.754021
117360,28.549643
118080,30.864674
118800,29.875919
119520,29.409836
120240,32.161999
120960,30.201439
121680,31.636541
122400,31.742645
123120,30.989317
123840,31.149202
124560,31.471233
125280,32.163151
126000,31.416048
126720,31.042883
127440,30.508528
128160,29.632685
128880,30.973001
129600,31.24931
130320,31.421629
131040,30.328108
131760,29.494804
132480,30.275764
133200,32.18745
133920,32.213055
134640,30.83292
135360,30.166948
136080,30.84782
136800,32.460678
137520,32.541122
138240,30.952385
138960,31.397299
139680,29.845125
140400,31.797316
141120,31.303366
141840,30.392382
142560,31.400967
143280,32.219833
144000,30.620726
144720,31.354116
145440,28.361366
146160,31.042597
146880,31.527657
147600,31.469795
148320,30.883043
149040,31.150578
149760,30.757404
150480,29.585594
151200,32.494812
151920,31.171724
152640,30.896826
153360,32.613419
154080,32.089066
154800,31.163044
155520,30.488422
156240,32.616489
156960,31.676529
157680,30.983873
158400,30.708668
159120,31.642138
159840,31.68898
160560,31.856953
161280,30.440813
162000,30.552483
162720,32.458973
163440,29.737198
164160,30.016754
164880,32.187008
165600,31.225008
166320,31.07975
167040,31.624216
167760,31.649019
168480,31.263084
169200,30.098003
169920,32.348763
170640,30.220711
171360,30.889933
172080,31.597675
172800,31.262175
173520,31.477243
174240,31.413696
174960,30.886147
175680,31.833822
176400,32.150227
177120,30.757488
177840,32.861664
178560,32.177116
179280,33.194984
180000,32.441463
180720,32.661861
181440,32.563778
182160,32.273121
182880,31.977186
183600,31.729763
184320,32.33279
185040,31.329458
185760,29.673109
186480,31.438408
187200,31.259874
187920,32.198109
188640,32.343369
189360,31.521425
190080,31.979286
190800,30.909136
191520,31.034399
192240,32.107815
192960,32.354042
193680,31.357441
194400,31.500183
195120,31.556164
195840,31.244047
196560,31.416121
197280,32.179909
198000,32.43277
198720,31.920292
199440,32.223579
200160,31.143682
200880,32.161354
201600,30.035633
202320,30.208227
203040,32.409546
203760,31.010252
204480,30.304216
205200,32.007481
205920,31.503635
206640,31.797363
207360,31.904919
208080,32.41824
208800,31.440784
209520,30.520199
210240,31.797722
210960,32.154388
211680,30.911304
212400,32.470245
213120,31.207741
213840,32.336216
214560,32.394997
215280,31.808249
216000,31.445461
216720,31.90707
217440,32.334499
218160,31.518122
218880,32.025978
219600,32.5812
220320,32.218273
221040,32.953789
221760,32.400227
222480,32.361599
223200,31.23778
223920,31.903017
224640,32.021141
225360,31.667046
226080,33.243423
226800,32.353096
227520,31.941309
228240,32.026752
228960,32.485958
229680,32.398712
230400,31.372402
231120,33.048241
231840,32.686386
232560,32.109947
233280,33.823116
234000,32.40086
234720,32.660198
235440,33.444408
236160,30.826643
236880,30.051903
237600,32.035488
238320,30.975603
239040,31.705946
239760,33.208061
240480,31.978626
241200,31.826038
241920,31.104126
242640,32.216892
243360,32.31588
244080,31.572849
244800,33.108089
245520,32.282417
246240,32.746174
246960,31.479107
247680,32.477318
248400,32.971516
249120,32.442886
249840,32.98708
250560,32.24741
251280,33.04179
252000,31.229372
252720,33.162479
253440,32.039204
254160,32.538113
254880,31.238071
255600,32.146523
256320,31.250284
257040,33.084656
257760,33.077965
258480,30.874872
259200,33.268372
259920,32.814075
260640,33.789612
261360,32.460796
262080,33.203823
262800,30.362572
263520,32.192894
264240,32.106468
264960,33.453529
265680,33.293148
266400,33.048279
267120,31.88739
267840,32.754524
268560,32.154865
269280,33.780144
270000,31.864122
270720,32.990391
271440,32.087193
272160,31.762936
272880,31.401648
273600,31.636869
274320,31.835442
275040,32.190197
275760,33.290993
276480,32.299927
277200,31.444607
277920,32.931465
278640,31.455465
279360,32.25573
280080,31.348856
280800,32.051147
281520,31.040691
282240,32.488716
282960,33.362217
283680,32.260208
284400,32.380363
285120,33.059303
285840,31.9147
286560,33.327774
287280,33.618233
288000,33.52816
288720,33.119011
289440,32.543171
290160,31.64068
290880,31.612698
291600,33.349396
292320,31.987522
293040,32.519878
293760,33.630112
294480,33.088459
295200,33.604462
295920,31.772987
296640,33.706894
297360,31.604078
298080,33.372597
298800,32.966698
299520,32.832222
300240,32.679924
300960,30.426998
301680,33.469532
302400,33.236263
303120,33.285114
303840,30.801748
304560,32.149307
305280,32.500866
306000,32.921234
306720,31.772633
307440,31.554699
308160,32.708809
308880,31.476309
309600,32.822716
310320,32.491505
311040,31.289267
311760,33.63517
312480,33.204433
313200,32.545555
313920,32.400356
314640,32.590317
315360,33.340572
316080,34.02779
316800,33.93644
317520,31.788162
318240,32.849247
318960,30.107157
319680,33.266289
320400,31.764938
321120,32.011345
321840,32.889389
322560,31.651733
323280,34.160675
324000,32.296227
324720,32.098518
325440,33.302292
326160,33.447308
326880,33.006268
327600,32.807274
328320,29.953388
329040,34.008141
329760,32.876865
330480,33.397671
331200,32.860085
331920,32.725395
332640,33.336456
333360,33.919979
334080,30.39246
334800,32.154827
335520,32.161011
336240,33.512215
336960,33.616177
337680,32.029057
338400,33.038956
339120,32.310085
339840,31.824085
340560,32.240665
341280,30.435951
342000,32.043713
342720,31.670942
343440,31.767916
344160,31.430107
344880,32.103035
345600,29.43222
346320,32.429188
347040,32.656757
347760,30.960949
348480,30.983681
349200,29.737736
349920,31.136223
350640,31.394238
351360,31.977726
352080,31.644398
352800,33.308979
353520,32.22813
354240,30.708925
354960,31.605476
355680,29.947515
356400,32.120296
357120,31.940861
357840,31.116177
358560,32.389233
359280,30.553291
360000,31.260653
360720,32.793762
361440,31.994404
362160,31.018545
362880,29.975386
363600,31.834799
364320,29.352043
365040,31.902441
365760,31.807072
366480,32.566177
367200,32.201939
367920,30.851803
368640,32.578873
369360,30.184046
370080,32.082302
370800,30.670351
371520,31.898281
372240,31.991264
372960,32.315113
373680,31.893753
374400,32.657028
375120,33.126884
375840,31.695507
376560,32.144009
377280,29.739403
378000,31.088213
378720,30.951807
379440,30.852871
380160,31.483286
380880,32.773941
381600,30.924425
382320,31.880646
383040,32.673641
383760,30.642332
384480,30.592094
385200,31.160793
385920,31.319998
386640,32.170666
387360,32.849449
388080,30.517204
388800,32.449837
389520,30.034986
390240,32.328293
390960,31.656643
391680,32.322666
392400,31.818802
393120,32.315338
393840,29.649357
394560,30.327112
395280,31.138809
396000,33.366447
396720,32.115517
397440,33.093513
398160,29.950489
398880,33.026146
399600,30.88464
400320,30.40806
401040,32.329166
401760,33.546085
402480,31.47595
403200,32.768089
403920,30.262867
404640,32.351372
405360,31.588331
406080,32.779568
406800,31.766268
407520,31.907213
408240,31.550079
408960,31.575117
409680,30.840008
410400,31.367886
411120,32.392429
411840,31.05151
412560,32.172119
413280,30.526966
414000,32.693043
414720,30.62505
415440,32.399467
416160,32.180508
416880,32.565319
417600,31.701616
418320,32.873722
419040,30.60981
419760,30.932476
420480,31.505913
421200,32.490803
421920,31.301285
422640,31.39588
423360,30.906275
424080,32.093452
424800,30.871878
425520,31.951206
426240,32.560009
426960,32.538071
427680,31.938175
428400,34.12421
429120,32.936001
429840,33.334499
430560,32.138248
431280,32.500164
432000,31.284767
432720,30.261286
433440,31.382671
434160,31.392832
434880,32.155998
435600,32.520405
436320,31.582411
437040,33.168285
437760,33.504128
438480,33.206707
439200,32.276749
439920,31.455503
440640,33.006477
441360,31.237497
442080,31.755762
442800,31.600353
443520,31.454895
444240,31.831017
444960,31.760166
445680,32.243938
446400,31.060783
447120,31.275585
447840,30.837797
448560,31.527241
449280,30.274652
450000,30.833012
450720,31.995094
451440,33.255173
452160,31.440384
452880,30.956375
453600,32.487148
454320,32.555573
455040,32.420296
455760,31.016275
456480,33.097347
457200,31.265612
457920,29.502674
458640,32.607719
459360,30.895014
460080,30.054237
460800,28.865574
461520,32.777645
462240,31.169928
462960,30.656027
463680,32.375637
464400,32.863476
465120,31.104198
465840,32.730469
466560,32.567844
467280,31.514168
468000,32.39106
468720,31.934687
469440,31.488401
470160,32.674927
470880,32.357819
471600,31.326309
472320,30.751287
473040,32.109169
473760,32.445827
474480,31.588078
475200,31.077394
475920,31.829866
476640,31.744762
477360,33.41695
478080,32.172096
478800,30.048674
479520,32.856159
480240,33.654064
480960,31.171162
481680,32.662556
482400,30.210649
483120,32.513371
483840,31.670513
484560,31.45525
485280,31.276724
486000,31.707726
486720,31.464512
487440,32.129772
488160,33.834759
488880,33.246433
489600,32.177273
490320,31.264851
491040,31.284967
491760,32.275715
492480,32.947739
493200,32.626881
493920,30.37627
494640,31.952991
495360,33.376076
496080,32.683529
496800,31.955723
497520,31.411489
498240,32.509678
498960,32.168743
499680,31.73061
500400,30.974417
501120,33.389294
501840,29.790245
502560,30.381287
503280,32.514805
504000,32.371082
504720,32.512779
505440,31.573563
506160,31.657972
506880,31.621641
507600,31.965939
508320,32.164425
509040,32.571083
509760,32.48933
510480,31.610014
511200,31.912233
511920,31.596144
512640,30.623146
513360,33.205029
514080,31.835218
514800,30.901577
515520,33.22662
516240,31.341097
516960,31.623568
517680,31.500065
518400,31.802124
519120,32.109371
519840,30.998396
520560,32.850109
521280,31.181009
522000,32.459438
522720,31.731953
523440,32.078289
524160,33.024635
524880,31.814068
525600,32.879772
526320,31.424623
527040,31.462591
527760,32.509445
528480,32.22369
529200,31.244152
529920,31.797302
530640,31.008238
531360,31.775827
532080,31.546511
532800,33.171921
533520,32.61298
534240,32.545853
534960,32.447487
535680,29.808733
536400,32.077034
537120,32.845417
537840,32.624283
538560,30.666014
539280,32.446068
540000,31.504368
540720,32.110149
541440,31.7542
542160,32.634014
542880,27.917364
543600,32.663239
544320,30.149899
545040,31.233789
545760,33.303474
546480,31.206787
547200,33.098415
547920,32.241428
548640,32.298866
549360,32.027805
550080,31.994427
550800,32.910667
551520,31.134325
552240,29.810091
552960,30.699759
553680,31.182299
554400,32.780411
555120,32.846233
555840,31.291809
556560,31.466307
557280,30.609505
558000,32.08091
558720,32.126781
559440,31.661459
560160,32.415195
560880,29.841562
561600,33.122955
562320,32.270603
563040,31.016249
563760,32.323521
564480,32.207203
565200,32.823578
565920,31.83293
566640,32.353451
567360,31.093555
568080,31.31422
568800,31.971729
569520,32.80048
570240,31.548365
570960,32.398869
571680,32.004726
572400,31.51606
573120,30.70785
573840,33.330551
574560,31.860697
575280,32.520786
576000,31.435246
576720,31.069902
577440,32.268852
578160,31.720188
578880,32.278687
579600,31.373827
580320,30.805634
581040,32.581985
581760,32.063751
582480,31.143158
583200,30.556608
583920,31.26553
584640,31.579311
585360,30.070518
586080,31.439686
586800,30.410465
587520,29.59197
588240,31.369183
588960,30.874697
589680,33.335835
590400,32.318726
591120,30.229906
591840,30.686483
592560,30.725979
593280,31.27693
594000,32.477268
594720,30.562859
595440,31.972036
596160,31.41954
596880,29.602049
597600,32.628914
598320,32.288029
599040,31.738634
599760,30.846838
600480,31.360123
601200,31.082268
601920,31.904587
602640,30.858622
603360,31.832829
604080,31.083233
604800,31.216125
605520,31.340584
606240,32.196209
606960,32.228619
607680,31.753397
608400,30.656839
609120,31.863289
609840,31.852638
610560,31.470669
611280,32.714748
612000,32.531021
612720,31.357224
613440,31.983641
614160,31.387777
614880,30.951826
615600,32.903782
616320,32.774975
617040,31.742857
617760,30.710407
618480,32.082485
619200,31.341219
619920,32.143169
620640,30.366308
621360,32.079952
622080,32.535736
622800,33.014877
623520,30.22105
624240,31.351187
624960,32.104813
625680,30.59314
626400,31.946503
627120,30.746437
627840,31.897455
628560,32.614895
629280,31.017056
630000,31.121042
